x,y,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,ID,SNOW_ON_GROUND_FLAG,LOCAL_DATE,TOTAL_PRECIPITATION,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND,COOLING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,LOCAL_MONTH,TOTAL_SNOW_FLAG,TOTAL_RAIN,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,PROVINCE_CODE,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,LOCAL_DAY,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,STATION_NAME,TOTAL_SNOW,MAX_TEMPERATURE,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG
-114.0133333,51.1225,,2020,3031092.2020.1.1,,2020-01-01 0:00,0,,,,,M,-0.3,M,3,,0,1,,0,91,,,,AB,-3.5,3031092,1,,18.3,CALGARY INTL A,0,3,56,
-114.0133333,51.1225,,2020,3031092.2020.1.2,,2020-01-02 0:00,1.8,,34,,,,-3,,3,,0,1,,0,90,,,,AB,-9.7,3031092,2,48,21,CALGARY INTL A,2,3.8,32,
-114.0133333,51.1225,M,2020,3031092.2020.1.3,,2020-01-03 0:00,,M,,M,M,,,,3,M,,1,,,,M,M,M,AB,,3031092,3,,,CALGARY INTL A,,,,M
-114.0133333,51.1225,,2020,3031092.2020.1.4,,2020-01-04 0:00,0.5,,35,,,,2.8,,2,,0,1,,0,77,,,,AB,-3.6,3031092,4,67,15.2,CALGARY INTL A,1,9.1,29,
-114.0133333,51.1225,,2020,3031092.2020.1.5,,2020-01-05 0:00,0,,25,,,,-3.9,,3,,0,1,,0,66,,,,AB,-11.6,3031092,5,52,21.9,CALGARY INTL A,0,3.9,29,
-114.0133333,51.1225,,2020,3031092.2020.1.6,,2020-01-06 0:00,0,,35,,T,,-4.2,,3,,0,1,T,0,77,,,,AB,-8.7,3031092,6,74,22.2,CALGARY INTL A,0,0.4,33,
-114.0133333,51.1225,,2020,3031092.2020.1.7,,2020-01-07 0:00,0,,12,,T,,-9.3,,3,,0,1,T,0,91,,,,AB,-12.2,3031092,7,32,27.3,CALGARY INTL A,0,-6.4,75,
-114.0133333,51.1225,,2020,3031092.2020.1.8,,2020-01-08 0:00,0,,35,,T,,-10.7,,4,,0,1,T,0,91,,,,AB,-14.2,3031092,8,52,28.7,CALGARY INTL A,0,-7.2,73,
-114.0133333,51.1225,,2020,3031092.2020.1.9,,2020-01-09 0:00,0.2,,35,,,,-15.7,,7,,0,1,,0,81,,,,AB,-18,3031092,9,35,33.7,CALGARY INTL A,0.2,-13.4,66,
-114.0133333,51.1225,,2020,3031092.2020.1.10,,2020-01-10 0:00,0,,,,T,M,-13.6,M,7,,0,1,T,0,83,,,,AB,-20.4,3031092,10,,31.6,CALGARY INTL A,0,-6.7,66,
